검색어,주소
제주트립티,제주 제주시 정실동길 26 카페 제주트립티
제주오라성,제주 제주시 오라남로 16 1층 오라성
한솥도시락 제주종합경기장점,제주 제주시 서광로 154 1층
메가MGC커피 제주오라정실점,제주 제주시 아연로 158 1층
푸라닭 제주오라점,제주 제주시 연오로 39 2층
한촌설렁탕 제주종합운동장점,제주 제주시 오라로 118
영월가든,제주 제주시 오남로 42-4
아라온푸드 체육회관지점,제주 제주시 서광로2길 24
BBQ치킨 제주시외버스터미널점,제주 제주시 서광로 174 시외버스터미널
럽미모어,제주 제주시 연삼로 215 1층 서쪽
붕어빵N커피,제주 제주시 서광로 174 1층 붕어빵N커피
2월22일 카페,제주 제주시 오라로18길 10-1 이월이십이일 카페
카페봄봄 오라점,제주 제주시 오라로 51 1층
사라보쌈족발,제주 제주시 서사로 163 1층 사라보쌈족발
밥이맛있는집,제주 제주시 서광로4길 18
한라도서관구내식당,제주 제주시 오남로 221
제주옛돈,제주 제주시 오라로 152-1
정실 돌담집 곰탕 해장국,제주 제주시 정실1길 1
푸른정육식당,제주 제주시 연사길 81
명품한정식,제주 제주시 연오로 123 1층
멕시카나치킨 도청점,제주 제주시 연오로 61-12
먹으래가게,제주 제주시 서광로4길 10 1층
맛짱김밥 오라점,제주 제주시 연삼로 223
딜라이트요양보호사교육원,제주 제주시 아연로 216-17 1층 딜라이트요양보호사교육원
오라상회,제주 제주시 오라남로 28 오라상회
탐라토종닭,제주 제주시 서사로 179 1층
오라돈돈,제주 제주시 오라이동 사평4길 44
남문숯불바베큐앤치킨 정실점,제주 제주시 아연로 149
국수천하,제주 제주시 서사로 174 국수천하
동대문꼬마김밥,제주 제주시 서광로2길 33 1층
터미널가마솥순대국,제주 제주시 서광로4길 8
스시크레,제주 제주시 정실3길 123 1층
오다윤카페,제주 제주시 연오로 35
정의고을꿩메밀국수,제주 제주시 서광로 154 오라동위락시설
터미널부대찌개,제주 제주시 서광로2길 11-24 1층(GS25 옆 선경세탁소 옆 골목안)
정가네식당,제주 제주시 서사로 170
해동식당,제주 제주시 서광로 174
쩐의식당,제주 제주시 서광로2길 11-2
산내들맛집,제주 제주시 서광로4길 16
엄마손맛,제주 제주시 공설로 39 1층
Cafe루이,제주 제주시 아연로 150
춤추는닭치킨,제주 제주시 서광로2길 5-14 1층 춤추는닭
카페 도린곁,제주 제주시 종천길 17
용이반점,제주 제주시 서광로4길 8
정실국수,제주 제주시 아연로 208
우리동네해장국 제주수눌음오라점,제주 제주시 서사로 176
이금당제과,제주 제주시 오남로 156 A동 이금당제과
멜로우,제주 제주시 신성로 6 1층 멜로우
고양이 갤러리,제주 제주시 아연로 118 2층
싱싱제주,제주 제주시 아연로 181 1층
미보식당,제주 제주시 서광로2길 11-7
노리카페,제주 제주시 연삼로 171 1층 별관
맘더스테이션,제주 제주시 오남로 218 1층
가메오름,제주 제주시 서광로2길 5-12
카페킹,제주 제주시 오남로 82
우리식당,제주 제주시 서광로2길 35 1층
다섯번째계절 제주점,제주 제주시 연북로 245 3층 아트카페
더오라,제주 제주시 동성길 36-1 1층
남촌식당,제주 제주시 서광로 174
크로플덕오리아가씨 제주본점,제주 제주시 서사로 165 1층
달빛포차,제주 제주시 연사3길 10 1층
트로피티아일랜드 제주점,제주 제주시 월구길 4 1층 1호
능가,제주 제주시 공설로 23
서~아 김밥,제주 제주시 서광로2길 35 1층 노란간판 서아
스태판,제주 제주시 연북로 245 2층
라이드원 게러지,제주 제주시 오남로 156 A동 라이드원 게러지
커피킹,제주 제주시 오남로 82
한샘해장국본점,제주 제주시 아연로 195-1
문카페,제주 제주시 정실동길 26
다오라캬바레,제주 제주시 서광로2길 11-9
멜로우머그,제주 제주시 정실동길 22 1층
리버,제주 제주시 아연로 114
선갤러리카페,제주 제주시 오남로 238
야촌식당,제주 제주시 오라로4길 4
자영식당,제주 제주시 서광로4길 10
해적신,제주 제주시 서광로2길 11-20
이름 없음,주소 없음
송스,제주 제주시 공설로9길 14 . 1층
오롯커피,제주 제주시 오남로6길 31-11 1층
오라통통순대국밥,제주 제주시 공설로 23
집밥콘서트,제주 제주시 오라로 55
송송,제주 제주시 정실남3길 19
살레카페,제주 제주시 아연로 216-9 시니어클럽하우스
대박 삼겹김치찜&초대박등갈비김치찜 구제주점,제주 제주시 오라일동 서사로 172 .층
무학성,제주 제주시 서광로 174
와이드케그 제주,제주 제주시 연삼로 121
로드정실,제주 제주시 정실3길 118
멕시카나도청점,제주 제주시 연오로 61-12
밥스토랑 영스크린 연북로점,제주 제주시 연북로 199-8 2층
도노미포차,제주 제주시 아연로 114 . 제1동1층
맥주한잔,제주 제주시 오라일동 서사로 165
간이역오라점,제주 제주시 서사로 168
아르떼 로제 떡볶이 제주오라점,제주 제주시 오라이동 사평4길 44
카페위더스,제주 제주시 연북로 204 신화위더스빌105동1층
카페 달,제주 제주시 서사로 179 1층
노기다,제주 제주시 오남로 231
터미널다방,제주 제주시 서광로 174 시외버스터미널
공설길,제주 제주시 공설로9길 14
밥스토랑 프렌즈스크린 젝키스크린,제주 제주시 오라삼동 오라로 39-2 (오라삼동)
오라앤커피,제주 제주시 정실3길 123
정실에서,제주 제주시 정실1길 1
다오라순영식당,제주 제주시 서광로2길 11-9
그때그곳,제주 제주시 서광로4길 10
인터뷰단란주점,제주 제주시 서사로 170
주원이네,제주 제주시 공설로9길 1
나는지금생선이먹고싶다 용담공항점,제주 제주시 용문로 168 1층
먹돌고기국수 제주본점,제주 제주시 공항로1길 14 1층 먹돌고기국수 제주본점
미송식탁,제주 제주시 삼무로11길 36
바른갈치 제주공항본점,제주 제주시 월성로 26 1층 바른갈치 제주공항본점
아라파파 연동점,제주 제주시 국기로3길 2 1층 아라파파
우화,제주 제주시 연동7길 30 1층
금돈상회,제주 제주시 광양8길 11
전이수갤러리 걸어가는늑대들,제주 제주시 연북로 707 1-2층
우무 동문시장점,제주 제주시 관덕로8길 40-1
돈도칸 연동흑돼지,제주 제주시 신대로20길 56 1층 돈도칸 신대로 연동흑돼지
제주갈치 충민정,제주 제주시 남성로 26-1 제주갈치 충민정
모찌마루,제주 제주시 공항로1길 14 제1동 지하1층
핏제리아필리아 화덕핏자 &파스타 제주 아라점,제주 제주시 아란7길 12-1 1층
공항뚝배기 제주공항본점,제주 제주시 연삼로 31
백소정 제주 아라점,제주 제주시 아란7길 12 2층
제주곱,제주 제주시 신대로16길 42 1층
돌담흑돼지 연동 본점,제주 제주시 연동7길 35 2층 돌담흑돼지
고국수,제주 제주시 용문로14길 4 1층 고국수 공항본점
빕스 제주점,제주 제주시 도령로 142 DJ타워 9층 빕스 제주점
미카도스시 제주시청점,제주 제주시 광양14길 1 2층
신제주보말칼국수 제주본점,제주 제주시 선덕로5길 19 신제주 보말칼국수
상향평준화,제주 제주시 남성로 156
시월,제주 제주시 남광로2길 21 1층 키친 시월
서서방숯불닭갈비 제주 본점,제주 제주시 연동7길 20 1층 서서방 숯불닭갈비
김재훈고사리육개장,제주 제주시 구남로4길 8-12 1층 김재훈고사리육개장
이재모피자 제주점,제주 제주시 간월동로 6 이재모피자 제주점
돌담흑돼지 제주공항점,제주 제주시 연동7길 38 1층
이도통닭 신제주점,제주 제주시 연삼로 20 1층 이도통닭 신제주점
한라식당 제주본점,제주 제주시 광양9길 19
올래국수 본점,제주 제주시 귀아랑길 24 올래국수
소리원,제주 제주시 연동12길 37
도바나,제주 제주시 서사로 29 도바나 티하우스
돌격한우,제주 제주시 연동11길 12 1층 돌격한우
행복밀,제주 제주시 서광로 239 1층
원담 제주본점,제주 제주시 동광로1길 13
국수마당 본점,제주 제주시 삼성로 65 국수마당 본점
은희네해장국,제주 제주시 고마로13길 8
스타벅스 제주시청점,제주 제주시 중앙로 215 (이도이동)
소길국수,제주 제주시 신대로 72 .1층 소길국수
롯데리아 제주공항국내선탑승점,제주 제주시 공항로 2 탑승구역 2층
백성원해장국,제주 제주시 동광로4길 1
부온,제주 제주시 구남동2길 26 1층 부온
머그라이,제주 제주시 구남동2길 19-3 1층 머그라이
파인드미인아지트,제주 제주시 서광로19길 33 1층
88돼지,제주 제주시 제원길 7
도갈비 공항점,제주 제주시 신대로7길 7 1층 도갈비 공항점
미주크크,제주 제주시 동광로5길 26 1층
삼무국수 제주본점,제주 제주시 삼무로3길 46-1 삼광빌딩
초리,제주 제주시 남성로25길 4-2 1층
성심조림 제주공항점,제주 제주시 신광로 8 1층
정성카츠 이도점,제주 제주시 남광로2길 22 . 1층 102호
막쇠,제주 제주시 제원길 12 1층 막쇠
제주섬돈 제주본점,제주 제주시 삼무로3길 46 제주섬돈
산방식당 제주점,제주 제주시 구남로8길 10-5
픽업카페,제주 제주시 남성로 167 픽업
앞뱅디식당,제주 제주시 선덕로 32
엔제리너스 제주시청DI점,제주 제주시 중앙로 274-1 1층~3층
제주올래국수,제주 제주시 월성로 39
컬쳐드,제주 제주시 승천로 81 1층 컬쳐드
광육,제주 제주시 아연로 595
맥도날드 제주시청DT점,제주 제주시 중앙로 277
서경한우 제주본점,제주 제주시 신대로12길 45 2층
메가MGC커피 제주버스터미널점,제주 제주시 서광로 167 101호
탐앤탐스커피신제주점,제주 제주시 신광로 52 1층 탐앤탐스 신제주점
제주갈비찜 본점,제주 제주시 삼무로 42 1층
폴 바셋 제주공항 국내선점,제주 제주시 용담이동 공항로 2 제주국제공항 국내선 3F
스스럼,제주 제주시 광양13길 3 2층 스스럼
루스트플레이스아라점,제주 제주시 아란7길 3-3 201호
어장군,"제주 제주시 신대로 72 ,1층"
하토 말차,제주 제주시 남성로 167 2층
무상찻집,제주 제주시 서광로5길 10 단독주택
프레젠트,제주 제주시 서사로23길 19-1 1층
제주 일품순두부 노연점,제주 제주시 노연로 119 1층(연동)
그린보이즈 제주이도점,제주 제주시 남광로 14 1층 103호
스시나미,제주 제주시 승천로 81 스시나미
제주미담,제주 제주시 가령로 19 이도이동
넝쿨하눌가든,"제주 제주시 대원북길 21 ,"
신설오름,제주 제주시 고마로17길 2
064인생곱창,제주 제주시 남광로 72 064인생곱창
장모식탁,제주 제주시 연신로 51
화수목보리짚불구이 연동점,제주 제주시 신광로 71 . 1층
제일곱창 제주직영점,제주 제주시 은남3길 29 1층
스타벅스 제주도남DT점,제주 제주시 연북로 394 (도남동)
24시제주해장국,제주 제주시 삼무로 45
써브웨이 제주공항점,제주 제주시 월성로4길 80 1층
쭈꾸쭈꾸쭈꾸미,제주 제주시 연동11길 33
예예예,제주 제주시 동광로 84 1층 예예예
빵귿,제주 제주시 구남동6길 45-1 1층 빵귿
백소정 신제주연동점,"제주 제주시 신대로14길 52 1층, 백소정 신제주연동점"
제주통큰장어,제주 제주시 청귤로3길 50 제주통큰장어
해이당 제주남원본점,제주 서귀포시 남원읍 남태해안로 118 2층 해이당 제주남원본점
여기고씨네,제주 서귀포시 남원읍 신흥로13번길 23 여기고씨네 제주남원본점
제주사바,제주 서귀포시 남원읍 태위로 507 2층
모노클제주,제주 서귀포시 남원읍 태위로360번길 30-8 모노클제주
로빙화,제주 서귀포시 남원읍 남태해안로 13
남원수제돈까스,제주 서귀포시 남원읍 남한로 10-1 남원수제돈까스
수망다원,제주 서귀포시 남원읍 태수로608번길 84
카페 담소요,제주 서귀포시 남원읍 신례천로 193 담소요
백한철꽈배기&식빵,제주 서귀포시 남원읍 남한로21번길 56
공천포식당,제주 서귀포시 남원읍 공천포로 89 공천포식당
바가텔,제주 서귀포시 남원읍 태위로 62-1 바가텔
취향의섬,제주 서귀포시 남원읍 태위로398번길 7 취향의 섬
카페서연의집 건축학개론촬영지,제주 서귀포시 남원읍 위미해안로 86 건축학개론촬영지 카페서연의집
하이커하우스보보,제주 서귀포시 남원읍 태위로 87 1층 하이커하우스보보
투썸플레이스 제주남원농협하나로마트점,제주 서귀포시 남원읍 남조로 52 1층
옥돔마을,제주 서귀포시 남원읍 남태해안로 509
공새미솥뚜껑,제주 서귀포시 남원읍 신례로 10
송가네참숯가든,제주 서귀포시 남원읍 남위남성로93번길 67 송가네참숯가든
은빌레식당,제주 서귀포시 남원읍 의귀로 120
바당길 서귀포점,제주 서귀포시 남원읍 공천포로 47-4 1층 바당길 서귀포점
대한목장,제주 서귀포시 남원읍 하례로620번길 19 대한목장(홀리랜드)
다래횟집,제주 서귀포시 남원읍 태위로 214
쇠소깍가든소연이네,제주 서귀포시 남원읍 하례로166번길 1 쇠소깍가든소연이네
남원흑돼지연탄골목,제주 서귀포시 남원읍 태위로495번길 7 1층
위미국밥,제주 서귀포시 남원읍 위미중앙로 178 위미국밥
와랑와랑,제주 서귀포시 남원읍 위미중앙로300번길 28
범일분식,제주 서귀포시 남원읍 태위로 658
제주정돈,제주 서귀포시 남원읍 위미해안로 20
물영아리오름휴게소,제주 서귀포시 남원읍 남조로 996
원조남원포구식당,제주 서귀포시 남원읍 남원회관로 53 1층
레몬뮤지엄,제주 서귀포시 남원읍 하례로620번길 41
소낭식당,제주 서귀포시 남원읍 일주동로 7905 소낭식당
장가네일품순두부 남원점,제주 서귀포시 남원읍 남조로 30
바굥식당,제주 서귀포시 남원읍 태위로 87 1층 바굥식당
메가MGC커피 제주위미감귤점,제주 서귀포시 남원읍 일주동로 7678 1층
그리울땐제주,제주 서귀포시 남원읍 태신해안로 271 그리울땐제주
유오,제주 서귀포시 남원읍 남원체육관로 191 1층
어느 멋진날,제주 서귀포시 남원읍 위미해안로 97
오소록,제주 서귀포시 남원읍 태수로358번길 1
탐라부대찌개,제주 서귀포시 남원읍 일주동로 8035 A동
세러데이아일랜드,제주 서귀포시 남원읍 남한로21번길 28 카페
태흥2리 어촌횟집,제주 서귀포시 남원읍 남태해안로 509 구)태흥2리어촌계횟집 신)태흥2리어촌횟집
라룬블루,제주 서귀포시 남원읍 태위로 27 1층 라룬블루
아주르블루,제주 서귀포시 남원읍 남원회관로 104 1층
남돈가,제주 서귀포시 남원읍 태위로 526 2층
루브린 라운지,제주 서귀포시 남원읍 태위로360번길 46
미스터크랩 앤 미스커피,제주 서귀포시 남원읍 남태해안로 533
마므레 흑돼지&양갈비,제주 서귀포시 남원읍 태위로 456 마므레
낭만화로구이,제주 서귀포시 남원읍 태위로724번길 11
스타벅스 제주서귀포남원DT점,제주 서귀포시 남원읍 일주동로 7129
안녕소깍서귀포쇠소깍브런치카페,제주 서귀포시 남원읍 하례로 98
내노키카페,제주 서귀포시 남원읍 태위로723번길 30-16
카페 벨라위미 로스터리,제주 서귀포시 남원읍 태위로151번길 14-14
카페숑,제주 서귀포시 남원읍 공천포로 91
동선제면가,제주 서귀포시 남원읍 태위로 3 1층
동백화방,제주 서귀포시 남원읍 태위로266번길 24-18 1층
선데이서플라이,제주 서귀포시 남원읍 원님로25번길 16 선데이 서플라이
우미,제주 서귀포시 남원읍 위미대성로 125-46
무 히어,제주 서귀포시 남원읍 공천포로 51
희야네식당,제주 서귀포시 남원읍 태위로 685-1 희야네식당
귤밭사이로수제돈가스 남원점,제주 서귀포시 남원읍 남원회관로 97 귤밭사이로수제돈가스 남원점
제주어향원,제주 서귀포시 남원읍 남태해안로 155
썬데이지,제주 서귀포시 남원읍 남태해안로 9 1층
탐라밥상,제주 서귀포시 남원읍 위미중앙로241번길 24 탐라밥상
월하위미,제주 서귀포시 남원읍 위미해안로 18 1층
식껍 제주남원점,제주 서귀포시 남원읍 남원회관로 71 1층
탐라칼국수,"제주 서귀포시 남원읍 태위로361번길 17 탐라칼국수, 남원점"
이루후제 서귀포본점,제주 서귀포시 남원읍 하신로 63
미나미 비요리,제주 서귀포시 남원읍 태위로 268 1층 상가
일송회수산,제주 서귀포시 남원읍 위미중앙로196번길 13
못 MOAT,제주 서귀포시 남원읍 태위로510번길 47-1 (돌담길 안 20미터 도보로 걸어들어와야 함)
무량제주,제주 서귀포시 남원읍 일주동로 7747
이치카,제주 서귀포시 남원읍 신례로 308
랑이식당,제주 서귀포시 남원읍 중산간동로 6264 1층
연수네가든,제주 서귀포시 남원읍 신례동로 60 연수네가든
이승악식당 한식뷔페,제주 서귀포시 남원읍 서성로 308 대형주차장 (매일메뉴 *업체소식* 확인)
파리바게뜨 제주남원점,제주 서귀포시 남원읍 태위로 672-1 1층 파리바게뜨
금호리조트 제주 담다,제주 서귀포시 남원읍 태위로 522-12
옥돔역식당,"제주 서귀포시 남원읍 남태해안로 508 1층, 옥돔역식당"
남온,제주 서귀포시 남원읍 한신로 515 남온
수와래베이커리,제주 서귀포시 남원읍 태위로 17 수와래베이커리
밥통,제주 서귀포시 남원읍 태위로 907
또와국밥,제주 서귀포시 남원읍 남조로 26 또와국밥
해선락와사비,제주 서귀포시 남원읍 남태해안로 335
알맞은 시간,제주 서귀포시 남원읍 신흥앞동산로35번길 2-2
진은수로스터리,제주 서귀포시 남원읍 태수로143번길 145 2층
노랑통닭 남원읍점,제주 서귀포시 남원읍 태위로 726 1층
메가MGC커피 제주남원점,제주 서귀포시 남원읍 태위로 660 1층 메가커피
공새미59,제주 서귀포시 남원읍 공천포로 59-1 공새미59
네네치킨 남원점,제주 서귀포시 남원읍 남원체육관로 342 상가동 1층 103호
제주메밀면이야기,제주 서귀포시 남원읍 태위로510번길 52 메밀면이야기
오뚜기빵집,제주 서귀포시 남원읍 태위로 129
부엔까미노,제주 서귀포시 남원읍 신흥앞동산로35번길 3
중앙닭집,제주 서귀포시 남원읍 태위로 690
테이블앤데스크,제주 서귀포시 남원읍 태위로360번길 192 바깥집
청해수산회센터,제주 서귀포시 남원읍 남태해안로 211
위미모녀분식,제주 서귀포시 남원읍 태위로 257 모녀분식
안녀어랭이,제주 서귀포시 남원읍 태위로 725
태흥횟집,제주 서귀포시 남원읍 남태해안로 435
어담,제주 서귀포시 남원읍 남원회관로 65 1층 어담
의귀리부부막국수,제주 서귀포시 남원읍 한신로 252-6
소요0617,제주 서귀포시 남원읍 태위로834번길 11-6
미미파스타,제주 서귀포시 남원읍 하례학림로 24 1층
위미항김밥,제주 서귀포시 남원읍 태위로 95 위미항김밥
큰엉식당,제주 서귀포시 남원읍 태위로 276 1층 큰엉식당
은설식당,제주 서귀포시 남원읍 태위로 686
남원가,제주 서귀포시 남원읍 태위로 683
해바라기 식당,제주 서귀포시 남원읍 한신로 280
남쪽바람 제주남원점,제주 서귀포시 남원읍 태수로143번길 133-4 1층
현정이네,제주 서귀포시 남원읍 공천포로 77-3
산지해장국 남원점,제주 서귀포시 남원읍 태위로723번길 8-4 1층
오아시스 가든 제주,제주 서귀포시 남원읍 중산간동로 7373 1층
엄마표밥상,제주 서귀포시 남원읍 남태해안로 145 1층
도우미식당,제주 서귀포시 남원읍 중산간동로 7407
느루,제주 서귀포시 남원읍 태위로 526 1층
원쭈꾸미,제주 서귀포시 남원읍 남원회관로 14 1층 원쭈꾸미
계절식,제주 서귀포시 남원읍 공천포로 83
짜장마을,제주 서귀포시 남원읍 태위로 672-7
남원콩나물국밥,제주 서귀포시 남원읍 일주동로 7147 남원콩나물국밥
카페 온유제,제주 서귀포시 남원읍 태신로 7 1층
올리바,제주 서귀포시 남원읍 하례로 96 B동 1층
한남307,제주 서귀포시 남원읍 한신로 55 카페 한남307
수망골,제주 서귀포시 남원읍 서성로 986-95
머체왓식당,제주 서귀포시 남원읍 서성로 755
오구삼구민물장어아구찜,제주 서귀포시 남원읍 남원회관로 61
베이스캠프더블랙,제주 서귀포시 남원읍 태위로19번길 60 1층
교촌치킨 서귀포남원점,제주 서귀포시 남원읍 태위로 713
신례토종닭식당,제주 서귀포시 남원읍 신례천로 267-110
뙤미,제주 서귀포시 남원읍 태위로 86
낭커피,제주 서귀포시 남원읍 하례돈야로 4
낭낭케이크,제주 서귀포시 남원읍 한신로541번길 13
현자커피,제주 서귀포시 남원읍 남조로 374 1층
창고96,제주 서귀포시 남원읍 일주동로7774번길 70-94 창고 96
강사장정육식당,제주 서귀포시 남원읍 남태해안로 101 1층
마블링 남원점,제주 서귀포시 남원읍 태위로 477 남원고을
흑돼지브라더스 제주 남원 본점,제주 서귀포시 남원읍 위미대성로 58
남원회센터,제주 서귀포시 남원읍 태위로 690-2
모카다방,제주 서귀포시 남원읍 태신해안로 125 1층
세러데이아일랜드,제주 서귀포시 남원읍 남한로21번길 28 1층
옥돔집,제주 서귀포시 남원읍 태위로 853
틴우드맨,제주 서귀포시 남원읍 태위로679번길 11
마더카페,제주 서귀포시 남원읍 태위로894번길 45
Tisch,제주 서귀포시 남원읍 태위로 181 1층
324정식 삼이사 서귀포 본점,제주 서귀포시 남원읍 일주동로 7137
삼덕고깃집,제주 서귀포시 남원읍 태신삼석로 9
팔도강산,제주 서귀포시 남원읍 태위로 82
금화식당,제주 서귀포시 남원읍 태위로689번길 17
오늘빵집,제주 서귀포시 남원읍 남원회관로 38 1층
위미중앙정육식당,제주 서귀포시 남원읍 태위로 138 1층
머들정원,제주 서귀포시 남원읍 남조로 641-34 머들
엠유스토리 카페&팜투어,제주 서귀포시 남원읍 태위로 740 A동 1층 엠유스토리 카페
금호제주리조트 한식당,제주 서귀포시 남원읍 태위로 522-12
육값하네식육가든,제주 서귀포시 남원읍 남조로 141
휴애리커피샵,제주 서귀포시 남원읍 신례동로 256
시카고피자남원점,제주 서귀포시 남원읍 태위로 659
동박낭,제주 서귀포시 남원읍 태위로 275-2
귤바테,제주 서귀포시 남원읍 중산간동로7141번길 16 2층 귤바테
황해루,제주 서귀포시 남원읍 일주동로 6611 1층 황해루
HFF 흐프프,제주 서귀포시 남원읍 태위로679번길 10 1층 상가
물영아리식당2호점,제주 서귀포시 남원읍 태위로641번길 5
카페지니,제주 서귀포시 남원읍 공천포로11번길 19
현아네흑돼지돈가스,제주 서귀포시 남원읍 위미중앙로 187 1층
은빌레카페,제주 서귀포시 남원읍 의귀로 120 1층
호월,제주 서귀포시 남원읍 남한로 418-11 가운데 통유리 건물
제남가든,제주 서귀포시 남원읍 태위로 551-44
투빅커피 태흥점,제주 서귀포시 남원읍 일주동로 6736 투빅커피 태흥점
소금,제주 서귀포시 남원읍 태위로 763-1 소금
흑염소마루,제주 서귀포시 남원읍 태위로663번길 1-1 흑염소마루
쉐프의메밀이야기,제주 서귀포시 남원읍 태위로510번길 63 쉐프의메밀이야기
맘스터치 제주남원점,제주 서귀포시 남원읍 태위로 677-2 1층
자매해장국,제주 서귀포시 남원읍 남원회관로 97 엘루체 2차
위미정식,제주 서귀포시 남원읍 위미중앙로196번길 15 1층
"공천포카페 쉼,",제주 서귀포시 남원읍 공천포로 65 2층
짬뽕한사발,제주 서귀포시 남원읍 태위로 60 1층 짬뽕한사발
Cafe 141,제주 서귀포시 남원읍 태신해안로 227-3
제주해마루 감자탕,제주 서귀포시 남원읍 의귀로 187
치킨나라 위미점,제주 서귀포시 남원읍 태위로 178
머체왓 족욕카페,제주 서귀포시 남원읍 서성로 755 주차장안쪽 숲길입구 카페&건강체험장
오복식당,제주 서귀포시 남원읍 태위로679번길 15
조이,제주 서귀포시 남원읍 태위로 381 조이
숲의아이,제주 서귀포시 남원읍 태수로358번길 3-1 숲의아이
서울돈까스앤김밥,제주 서귀포시 남원읍 남조로 26 서울돈까스앤김밥
갯마을횟집,제주 서귀포시 남원읍 태신해안로 235-5 갯마을횟집
귤냥 감귤밭카페,제주 서귀포시 남원읍 일주동로 7514 단층
부가네얼큰이 남원점,제주 서귀포시 남원읍 태위로679번길 10
하례차이나,제주 서귀포시 남원읍 일주동로 8046
무주향,제주 서귀포시 남원읍 위미해안로 118-5 무주향
위미옥,제주 서귀포시 남원읍 태위로360번길 208 안쪽 작은집
물영아리식당,제주 서귀포시 남원읍 남조로 996
의귀송원,제주 서귀포시 남원읍 남조로 413-33
황금빅버거,제주 서귀포시 남원읍 516로 918
신흥부가밀면,제주 서귀포시 남원읍 태위로 199 신흥부가밀면
이디야커피 제주남원포구점,제주 서귀포시 남원읍 남태해안로 135 1층
컴포즈커피 서귀포위미점,제주 서귀포시 남원읍 태위로 99
BBQ치킨 금호 제주리조트점,제주 서귀포시 남원읍 태위로 522-12
흑돼지일번지,제주 서귀포시 남원읍 남조로 5
제주남원뷔페,제주 서귀포시 남원읍 태위로 690-8 1층
상희네숯불구이,제주 서귀포시 남원읍 위미항구로 16 상희네돈숯불구이
파리바게뜨 제주위미농협하나로점,제주 서귀포시 남원읍 일주동로 7826
이프 위,제주 서귀포시 남원읍 태위로115번길 1 1층
서울감자탕 2호점,제주 서귀포시 남원읍 남태해안로 137
대유가든,제주 서귀포시 남원읍 태위로2번길 2 대유가든
피자명인 제주남원점,제주 서귀포시 남원읍 태위로 659-1
나그네쉼터 어시장 수산식당,제주 서귀포시 남원읍 태위로 48
수망손칼국수,제주 서귀포시 남원읍 남조로 610
러빙헛 서귀포점,제주 서귀포시 남원읍 일주동로 7036 러빙헛
제주정제,제주 서귀포시 남원읍 남원회관로 20 1층
동동차이나 남원점,제주 서귀포시 남원읍 태위로689번길 7
BBQ 남원점,제주 서귀포시 남원읍 태위로 247 bbq치킨
핫도그꽈배기,제주 서귀포시 남원읍 남원체육관로 324 1층
주야진,제주 서귀포시 남원읍 위미중앙로 199 1층 주야진
지귀도형제횟집,제주 서귀포시 남원읍 위미해안로 47
파니브아,제주 서귀포시 남원읍 태위로 773-19 상가
오누이,제주 서귀포시 남원읍 중산간동로 5817 오누이
투다리 남원점,제주 서귀포시 남원읍 태위로663번길 1 삼성화재
욜로 카페,제주 서귀포시 남원읍 남원회관로 46 2층
위미장가네닭곰탕,제주 서귀포시 남원읍 태위로 93
안순네밥집,제주 서귀포시 남원읍 남조로 32 안순네밥집
경인식당,제주 서귀포시 남원읍 태위로 672-5 경인식당
애삘레,제주 서귀포시 남원읍 태위로 728 애삘레
명치원,제주 서귀포시 남원읍 자배오름로139번길 35-68
누구나홀딱반한닭 제주남원점,제주 서귀포시 남원읍 태위로 672-4
어멍감자탕,제주 서귀포시 남원읍 남원체육관로 286 1층
남도곰탕해장국,제주 서귀포시 남원읍 태위로 177 1층 남도곰탕해장국
은혜네맛집,제주 서귀포시 남원읍 태위로 132
카페 제제,제주 서귀포시 남원읍 하례로 96 A동 1층
뉴남원분식,제주 서귀포시 남원읍 태위로679번길 2 1층
일품양평해장국 제주남원점,제주 서귀포시 남원읍 남조로 27 1층 101호
한울이네,제주 서귀포시 남원읍 일주동로 7123 1층 한울이네
하눌타리식당,제주 서귀포시 남원읍 남한로420번길 7 하눌타리식당
안트레,제주 서귀포시 남원읍 신례로 144 안트레카페
올레길설렁탕,제주 서귀포시 남원읍 태위로700번길 4 24시소주타운
귤곳간,제주 서귀포시 남원읍 남위남성로 165 귤곳간
선데이포차,제주 서귀포시 남원읍 태위로 937 1층
장터가든,제주 서귀포시 남원읍 태위로700번길 7 장터가든
가회식당,제주 서귀포시 남원읍 태위로679번길 7
어멍김밥,제주 서귀포시 남원읍 태위로 673-1 1층 어멍김밥
텐마루,제주 서귀포시 남원읍 일주동로 7131
쥬쥬쿠키,제주 서귀포시 남원읍 태신로 4
청포밥상,제주 서귀포시 남원읍 태위로151번길 15
헤븐리,제주 서귀포시 남원읍 남태해안로 75-5 1층
만조,제주 서귀포시 남원읍 태위로 87 1층
카페남원,제주 서귀포시 남원읍 남원회관로 28 2층
모닝해장국 남원점,제주 서귀포시 남원읍 태위로 634
모다드렁,제주 서귀포시 남원읍 태위로724번길 9
하례감귤점빵협동조합,제주 서귀포시 남원읍 하례로 272
제주손가닭갈비 남원점,제주 서귀포시 남원읍 태위로700번길 9 1층
깐부고깃집1호점,제주 서귀포시 남원읍 태위로689번길 9 깐부고깃집
짜장마루,제주 서귀포시 남원읍 태위로689번길 1-1
물동산식당,제주 서귀포시 남원읍 신례천로 2
태경식당,제주 서귀포시 남원읍 수망리 311-3
쇠소깍대박밥상,제주 서귀포시 남원읍 일주동로 8046
신흥동백가든,제주 서귀포시 남원읍 중산간동로 5765
