Search_Query,Place_Name,Nickname,Date,Review_Content
크래커스 한경점,,96nanugi,25.12.31.수,커피 찐 맛집이네요 숙소추천으로 왔는데 커피 러버인 저에게 넘 감동이었어요 담에 다시 들리고싶어요 이것저것 맛보고싶어서 드립백 종류별로 구매 더 했네요
크래커스 한경점,,isbe,25.11.16.일,안경쓴 남자가 사장인가 ? 예의가 없네요 음료마시는데 파리 계속 날라다니고 ..
크래커스 한경점,,새벽 yeah,25.11.6.목,커피 맛집. 제주가면 부러 찾아가기~
크래커스 한경점,,치즈6855,25.10.19.일,"그냥 차로 지나가다가 로스터리 보고 친구가 저기 괜찮아보이는데? 하고 들어갔던 곳,,, 테이크아웃했는데 아이스 아메리카노 정말 맛있었고요 친구들은 따뜻한 아메리카노 마셨는데 처음보다 약간 식으니 더 맛있었다 하더라구요. 마침 네스프레소 캡슐도 팔아서 사가지고 집에서 내려먹어봤는데 캡슐로 먹어도 맛있네요👍👍👍 담엔 매장에 앉아서 먹고싶음 ㅎ"
크래커스 한경점,,다다3886,25.10.4.토,내용 없음
크래커스 한경점,,산토리니dream,25.9.2.화,탁현민 더뷰티풀에서 추천해서 다녀왔어요~^^
크래커스 한경점,,TssussT,25.8.26.화,커피는 맛이 좋았다.
크래커스 한경점,,d0202,25.8.3.일,원두 산미있는걸로 골라서 먹었는데 커피 맛있어요
클랭블루 제주,,클릭10,4.19.일,제주서쪽 여행 왔다가 뷰도 이쁘고 커피맛집이라고 해서 들어왔는데~ 쿠키 맛집이네요 ^^ 우도땅콩 가득 들어있고 소금도 짭조름한게 아메리카노랑 너무 잘어울려서 선물용도 사갑니다 회사에서 직원들이랑 나눠먹어야겠어요~!
클랭블루 제주,,키티5017,4.2.목,노을 뷰 맛집 멍때리기 좋아요👍 제주 말차라떼도 맛있어요
클랭블루 제주,,TAMBURINS,4.1.수,디저트가 많이 없어서 아쉬워요 뷰 너무 좋습니다 풍차해안도로
클랭블루 제주,,tjs****,3.28.토,검색하다가 찾게 되어 처음 와본 카페입니다 제주에 뷰 좋은 카페들은 워낙 많지만 여기도 뷰가 정말 좋네요 👍🏻 바다랑 풍력발전소랑 제주 돌담이 한번에 보여서 정말 제주 느낌이 물씬 나는 곳이에요 매장도 넓고 조용해서 좋았구요 2층은 작은 갤러리처럼 해놨는데 사진 찍기 좋았어요
클랭블루 제주,,Sallygogo,3.25.수,"커피, 음악, 바다와 노을 풍경까지 모든 것이 완벽하게 어우러져 여유와 따뜻함이 느껴지는 공간과 시간이었습니다!!! 몇번째 방문인지 기억해주신 사장님까지...다시 제주에 올때 꼭 다시 방문하고 싶은 곳, 계속 생각날것 같아요~😊👍"
클랭블루 제주,,초록뷰,2.28.토,도민 추천으로 방문 했는데 공간에 비해 좌석이 적고 사람이 적어서 여유로운 시간 보내고 왔습니다👍
클랭블루 제주,,JejuN깔깔마녀,2.23.월,"신창풍차해안도로의 상징적인 카페 클랭블루는 바다를 품은 거대한 통창 뷰가 압권이다. 갤러리처럼 정갈한 내부 공간은 2층의 '액자형 포토존'에서 절정을 이루며, 하얀 풍차와 푸른 수평선을 한눈에 담아낸다. 묵직한 바디감의 커피와 부드러운 크림 라떼는 이곳의 세련된 분위기와 잘 어우러진다. 제주의 서쪽 바다를 가장 우아하고 고요하게 감상할 수 있는 공간이다."
클랭블루 제주,,쮸꾸미한사발,2.18.수,제주에 오면 꼭 들리는곳 한적한니 여유를 느낄수 있어 너무너무 조아요. 바다 풍경
클랭블루 제주,,레이쳴,2.9.월,오션뷰가 예쁜 카페에요
클랭블루 제주,,푸크마미,1.31.토,신풍해안도로 바로앞이에요 우도땅콩라떼 아메리카노 땅콩쿠키 다 맛있어요 2025블루리본받은곳이고 바다뷰가 끝내줍니다
웨스트그라운드,,가나다라가나다라,4.19.일,카페가 너무 이쁘고 빵도 맛있고 음료도 맛있고 분위기도 좋고 힐링하고 가요~~~~
웨스트그라운드,,bungle7,4.13.월,"야외 정원이랑 온실, 꽃밭 예쁩니다. 힙한 실내 공간도 머무르기 좋구요. 냥이친구들 귀여워요. 주스랑 디저트 맛있습니다😋"
웨스트그라운드,,Sophia8422,4.12.일,내용 없음
웨스트그라운드,,asa****,4.10.금,흐린날이였지만 카페 분위기는 맑음였어요.^^너무 좋은 장소였지요.
웨스트그라운드,,leeinto,4.9.목,온실 정원이 너무 예뻐요
웨스트그라운드,,82y****,4.4.토,망고빙수와 아메리카노 맛있습니다. 고양이 들도 이쁘고 사진 찍기도 좋아요
웨스트그라운드,,해삐쮸20,4.2.목,"제주한림카페로 대추천.. 분위기가 정말 좋아요! 와플이랑 초당옥수수빵 강력추천 ♡̈ 시그니처 웨스트라떼도 진한 말차맛이 매력만점이에용 ! 카페가 크고, 분위기도 좋고, 귀여운 고양이들도 있어요. 온실 구경하기도 정말 좋습니다~~재방문의사 200%드는 제주도 서쪽 예쁜카페로 추천해용!!"
웨스트그라운드,,덩치맘jung,3.30.월,"주차하기 편하고 야외 유채꽃 너무 예쁘고 오픈전에 갔는데 사장님 친절하게 반겨주시고 말차라떼랑 티라미수 먹었는데 맛있어요~ㅎ 온실에 열대 야자수랑 식물,꽃들이 너무 예뻐서 감탄하며 사진 많이 찍었네요 귀여운 고양이들이 따라 다니며 재롱 부리고 힐링 잘 하고 갑니다~다음에 또 오고 싶어요^^"
